name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Maximilian Riesenhuber,"Professor of Neuroscience, Georgetown University",Maximilian Riesenhuber,Maximilian Riesenhuber,Maximilian Riesenhuber,Maximilian Riesenhuber,Maximilian Riesenhuber,Maximilian Riesenhuber
Ilker Yildirim,Yale University,Ilker Yildirim,Ilker Yildirim,Ilker Yildirim,Ilker Yildirim,Ilker Yildirim,Ilker Yildirim
John Reynolds,The Salk Institute,John Reynolds,John Reynolds,John Reynolds,John Reynolds,John Reynolds,John Reynolds
Hilde Kuehne,"Goethe University Frankfurt ,  MIT-IBM Watson Lab",Hilde Kuehne,Hilde Kuehne,Hilde Kuehne,Hilde Kuehne,Hilde Kuehne,Hilde Kuehne
Alborz Geramifard,Research Manager at Facebook,Alborz Geramifard,Alborz Geramifard,Alborz Geramifard,Alborz Geramifard,Alborz Geramifard,Alborz Geramifard
Robert Oostenveld,"Associate PI; Donders Institute for Brain, Cognition and Behaviour",Robert Oostenveld,Robert Oostenveld,Robert Oostenveld,Robert Oostenveld,Robert Oostenveld,Robert Oostenveld
Francesca Odone,MaLGa Machine Learning Genoa Center - Università degli Studi di Genova,Francesca Odone,Francesca Odone,Francesca Odone,Francesca Odone,Francesca Odone,Francesca Odone
Charles Kemp,Melbourne School of Psychological Sciences,Charles Kemp,Charles Kemp,Charles Kemp,Charles Kemp,Charles Kemp,Charles Kemp
Costas Anastassiou,"Professor, Cedars Sinai",Costas Anastassiou,Costas Anastassiou,Costas Anastassiou,Costas Anastassiou,Costas Anastassiou,Costas Anastassiou
Wolfgang Einhäuser Treyer,Chemnitz University of Technology,Wolfgang Einhäuser Treyer,Wolfgang Einhäuser Treyer,Wolfgang Einhäuser Treyer,Wolfgang Einhäuser Treyer,Wolfgang Einhäuser Treyer,Wolfgang Einhäuser Treyer
alessandro verri,"professor of computer science, dibris, università degli studi di genova",alessandro verri,alessandro verri,alessandro verri,alessandro verri,alessandro verri,alessandro verri
James Hays,Georgia Tech,James Hays,James Hays,James Hays,James Hays,James Hays,James Hays
silvia villa,MaLGa Machine Learning Genoa Center - Università degli Studi di Genova,silvia villa,silvia villa,silvia villa,silvia villa,silvia villa,silvia villa
Christof Koch,Chief Scientist and President,Christof Koch,Christof Koch,Christof Koch,Christof Koch,Christof Koch,Christof Koch
Naotsugu Tsuchiya,"Professor, Monash University",Naotsugu Tsuchiya,Naotsugu Tsuchiya,Naotsugu Tsuchiya,Naotsugu Tsuchiya,Naotsugu Tsuchiya,Naotsugu Tsuchiya
Nikolaos Mavridis,Interactive Robots and Media Lab,Nikolaos Mavridis,Nikolaos Mavridis,Nikolaos Mavridis,Nikolaos Mavridis,Nikolaos Mavridis,Nikolaos Mavridis
Varesio Luigi,Istituto Giannina Gaslini,Varesio Luigi,Varesio Luigi,Varesio Luigi,Varesio Luigi,Varesio Luigi,Varesio Luigi
Driss Boussaoud,"Researcher, CNRS",Driss Boussaoud,Driss Boussaoud,Driss Boussaoud,Driss Boussaoud,Driss Boussaoud,Driss Boussaoud
Rupal Patel,"Northeastern University, Speech Language Pathology & Computer Science",Rupal Patel,Rupal Patel,Rupal Patel,Rupal Patel,Rupal Patel,Rupal Patel
Giulia Pasquale,Senior Technician,Giulia Pasquale,Giulia Pasquale,Giulia Pasquale,Giulia Pasquale,Giulia Pasquale,Giulia Pasquale
Andrew Zisserman,University of Oxford,Andrew Zisserman,Andrew Zisserman,Andrew Zisserman,Andrew Zisserman,Andrew Zisserman,Andrew Zisserman
Leonardo Chelazzi,"University of Verona, Italy",Leonardo Chelazzi,Leonardo Chelazzi,Leonardo Chelazzi,Leonardo Chelazzi,Leonardo Chelazzi,Leonardo Chelazzi
Noah D. Goodman,Stanford University,Noah D. Goodman,Noah D. Goodman,Noah D. Goodman,Noah D. Goodman,Noah D. Goodman,Noah D. Goodman
Steve Branson,Caltech,Steve Branson,Steve Branson,Steve Branson,Steve Branson,Steve Branson,Steve Branson
TOMASO POGGIO,"McDermott Professor in Brain Sciences, MIT",TOMASO POGGIO,TOMASO POGGIO,TOMASO POGGIO,TOMASO POGGIO,TOMASO POGGIO,TOMASO POGGIO
Hongkui Zeng,"Executive Vice President and Director, Allen Institute for Brain Science",Hongkui Zeng,Hongkui Zeng,Hongkui Zeng,Hongkui Zeng,Hongkui Zeng,Hongkui Zeng
Massimiliano Pontil,Istituto Italiano di Tecnologia & University College London,Massimiliano Pontil,Massimiliano Pontil,Massimiliano Pontil,Massimiliano Pontil,Massimiliano Pontil,Massimiliano Pontil
Ricardo Gattass,"Emeritus Professor of Neuroscience, Federal University of Rio de Janeiro",Ricardo Gattass,Ricardo Gattass,Ricardo Gattass,Ricardo Gattass,Ricardo Gattass,Ricardo Gattass
Leila Reddy,"CNRS Researcher (CR1), Cerco (CNRS-UT3), TMBI (Univ. Toulouse)",Leila Reddy,Leila Reddy,Leila Reddy,Leila Reddy,Leila Reddy,Leila Reddy
Ernesto De Vito,MaLGa Machine Learning Genoa Center - Università di Genova,Ernesto De Vito,Ernesto De Vito,Ernesto De Vito,Ernesto De Vito,Ernesto De Vito,Ernesto De Vito
Tsung-Yi Lin,"Research Scientist, Nvidia",Tsung-Yi Lin,Tsung-Yi Lin,Tsung-Yi Lin,Tsung-Yi Lin,Tsung-Yi Lin,Tsung-Yi Lin
Ed Boyden,"MIT, HHMI",Ed Boyden,Ed Boyden,Ed Boyden,Ed Boyden,Ed Boyden,Ed Boyden
Antonio Torralba,"Professor of Computer Science, MIT",Antonio Torralba,Antonio Torralba,Antonio Torralba,Antonio Torralba,Antonio Torralba,Antonio Torralba
Alessandro Rudi,INRIA - École Normale Supérieure,Alessandro Rudi,Alessandro Rudi,Alessandro Rudi,Alessandro Rudi,Alessandro Rudi,Alessandro Rudi
Chris Baker,"Chief Scientist, ISEE AI",Chris Baker,Chris Baker,Chris Baker,Chris Baker,Chris Baker,Chris Baker
Bill Lotter,DeepHealth Inc.,Bill Lotter,Bill Lotter,Bill Lotter,Bill Lotter,Bill Lotter,Bill Lotter
Margaret S Livingstone,"Professor of Neurobiology, Harvard Medical School",Margaret S Livingstone,Margaret S Livingstone,Margaret S Livingstone,Margaret S Livingstone,Margaret S Livingstone,Margaret S Livingstone
Aude Oliva,MIT College Director Strategic Industry Engagement; MIT Director MIT-IBM Lab; Senior Research,Aude Oliva,Aude Oliva,Aude Oliva,Aude Oliva,Aude Oliva,Aude Oliva
Ulf Knoblich,"Scientist II, Allen Institute for Brain Science",Ulf Knoblich,Ulf Knoblich,Ulf Knoblich,Ulf Knoblich,Ulf Knoblich,Ulf Knoblich
Narcisse P. Bichot,"Research Scientist, MIT",Narcisse P. Bichot,Narcisse P. Bichot,Narcisse P. Bichot,Narcisse P. Bichot,Narcisse P. Bichot,Narcisse P. Bichot
Moran Cerf,"Caltech, UCLA, NYU, Kellogg School of Management, MIT Media Lab",Moran Cerf,Moran Cerf,Moran Cerf,Moran Cerf,Moran Cerf,Moran Cerf
Charles Cadieu,Founder / CEO / Advisor / Investor,Charles Cadieu,Charles Cadieu,Charles Cadieu,Charles Cadieu,Charles Cadieu,Charles Cadieu
Stephen J Gotts,"Senior Associate Scientist, NIMH/NIH",Stephen J Gotts,Stephen J Gotts,Stephen J Gotts,Stephen J Gotts,Stephen J Gotts,Stephen J Gotts
Andrew Perfors,University of Melbourne,Andrew Perfors,Andrew Perfors,Andrew Perfors,Andrew Perfors,Andrew Perfors,Andrew Perfors
Mark Pinsk,"Princeton Neuroscience Institute, Princeton University",Mark Pinsk,Mark Pinsk,Mark Pinsk,Mark Pinsk,Mark Pinsk,Mark Pinsk
Jochen Braun,"Professor of Cognitive Biology, Magdeburg",Jochen Braun,Jochen Braun,Jochen Braun,Jochen Braun,Jochen Braun,Jochen Braun
Stephen SMALE,professor cityu of hong kong,Stephen SMALE,Stephen SMALE,Stephen SMALE,Stephen SMALE,Stephen SMALE,Stephen SMALE
Sachithra Hemachandra,"Google, CSAIL, MIT, Waymo, Toyota Research Institute",Sachithra Hemachandra,Sachithra Hemachandra,Sachithra Hemachandra,Sachithra Hemachandra,Sachithra Hemachandra,Sachithra Hemachandra
Nicholas Roy,MIT,Nicholas Roy,Nicholas Roy,Nicholas Roy,Nicholas Roy,Nicholas Roy,Nicholas Roy
Georgios Evangelopoulos,"X, the moonshot factory",Georgios Evangelopoulos,Georgios Evangelopoulos,Georgios Evangelopoulos,Georgios Evangelopoulos,Georgios Evangelopoulos,Georgios Evangelopoulos
Kelsey Allen,"Research Scientist, DeepMind",Kelsey Allen,Kelsey Allen,Kelsey Allen,Kelsey Allen,Kelsey Allen,Kelsey Allen
Peter Welinder,OpenAI,Peter Welinder,Peter Welinder,Peter Welinder,Peter Welinder,Peter Welinder,Peter Welinder
Sayan Mukherjee,"Duke University, MIT",Sayan Mukherjee,Sayan Mukherjee,Sayan Mukherjee,Sayan Mukherjee,Sayan Mukherjee,Sayan Mukherjee
Matteo Santoro,Camelot Biomedical Systems Srl,Matteo Santoro,Matteo Santoro,Matteo Santoro,Matteo Santoro,Matteo Santoro,Matteo Santoro
Sven Eberhardt,Brown University,Sven Eberhardt,Sven Eberhardt,Sven Eberhardt,Sven Eberhardt,Sven Eberhardt,Sven Eberhardt
"Ali Bilgin Arslan, PhD",KAYAK,"Ali Bilgin Arslan, PhD","Ali Bilgin Arslan, PhD","Ali Bilgin Arslan, PhD","Ali Bilgin Arslan, PhD","Ali Bilgin Arslan, PhD","Ali Bilgin Arslan, PhD"
