name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Elina Birmingham,"Associate Professor, Faculty of Education, Simon Fraser University",Elina Birmingham,Elina Birmingham,Elina Birmingham,Elina Birmingham,Elina Birmingham,Elina Birmingham
Ashesh D Mehta,"Professor, Hofstra Northwell School of Medicine",Ashesh D Mehta,Ashesh D Mehta,Ashesh D Mehta,Ashesh D Mehta,Ashesh D Mehta,Ashesh D Mehta
Jose L Herrero,"Assistant Professor, Feinstein Institutes for Medical Research, New York",Jose L Herrero,Jose L Herrero,Jose L Herrero,Jose L Herrero,Jose L Herrero,Jose L Herrero
Erin Yeagle,Yale School of Medicine,Erin Yeagle,Erin Yeagle,Erin Yeagle,Erin Yeagle,Erin Yeagle,Erin Yeagle
Michael Mackay,"Neurology Academic Clinical Fellow, Cambridge University Hospitals",Michael Mackay,Michael Mackay,Michael Mackay,Michael Mackay,Michael Mackay,Michael Mackay
Will Drover,"Associate Professor, The University of Oklahoma",Will Drover,Will Drover,Will Drover,Will Drover,Will Drover,Will Drover
Scott Shane,Case Western Reserve University,Scott Shane,Scott Shane,Scott Shane,Scott Shane,Scott Shane,Scott Shane
Tom Meyvis,"New York University, Stern School of Business",Tom Meyvis,Tom Meyvis,Tom Meyvis,Tom Meyvis,Tom Meyvis,Tom Meyvis
Vicki Morwitz,"Columbia Business School, Columbia University",Vicki Morwitz,Vicki Morwitz,Vicki Morwitz,Vicki Morwitz,Vicki Morwitz,Vicki Morwitz
Bruno Olshausen,"Professor, UC Berkeley",Bruno Olshausen,Bruno Olshausen,Bruno Olshausen,Bruno Olshausen,Bruno Olshausen,Bruno Olshausen
Ryan T. Canolty,"University of California, Berkeley",Ryan T. Canolty,Ryan T. Canolty,Ryan T. Canolty,Ryan T. Canolty,Ryan T. Canolty,Ryan T. Canolty
Robert Thomas Knight,"Professor of Psychology and Neuroscience, UC Berkeley",Robert Thomas Knight,Robert Thomas Knight,Robert Thomas Knight,Robert Thomas Knight,Robert Thomas Knight,Robert Thomas Knight
Alexander Huth,Assistant Professor CS & Neuroscience UT Austin,Alexander Huth,Alexander Huth,Alexander Huth,Alexander Huth,Alexander Huth,Alexander Huth
Alex Martin,"NIH Senior Investigator, National Institute of Mental Health",Alex Martin,Alex Martin,Alex Martin,Alex Martin,Alex Martin,Alex Martin
Robert Cox,NIMH,Robert Cox,Robert Cox,Robert Cox,Robert Cox,Robert Cox,Robert Cox
Ziad S. Saad,Johnson & Johnson,Ziad S. Saad,Ziad S. Saad,Ziad S. Saad,Ziad S. Saad,Ziad S. Saad,Ziad S. Saad
Hang Joon Jo,"Associate Professor, Department of Physiology, College of Medicine, Hanyang University",Hang Joon Jo,Hang Joon Jo,Hang Joon Jo,Hang Joon Jo,Hang Joon Jo,Hang Joon Jo
Gregory L. Wallace,The George Washington University,Gregory L. Wallace,Gregory L. Wallace,Gregory L. Wallace,Gregory L. Wallace,Gregory L. Wallace,Gregory L. Wallace
"J Ingeholm, JE Ingeholm, John E Ingeholm","NIH, National Institute of Mental Health","J Ingeholm, JE Ingeholm, John E Ingeholm","J Ingeholm, JE Ingeholm, John E Ingeholm","J Ingeholm, JE Ingeholm, John E Ingeholm","J Ingeholm, JE Ingeholm, John E Ingeholm","J Ingeholm, JE Ingeholm, John E Ingeholm","J Ingeholm, JE Ingeholm, John E Ingeholm"
"W. Kyle Simmons, Ph.D.","Director, Biomedical Imaging Center at Oklahoma State University","W. Kyle Simmons, Ph.D.","W. Kyle Simmons, Ph.D.","W. Kyle Simmons, Ph.D.","W. Kyle Simmons, Ph.D.","W. Kyle Simmons, Ph.D.","W. Kyle Simmons, Ph.D."
Jason Avery,"Research Fellow, Laboratory for Brain and Cognition, NIMH/NIH",Jason Avery,Jason Avery,Jason Avery,Jason Avery,Jason Avery,Jason Avery
Lauren Kenworthy,Children's National,Lauren Kenworthy,Lauren Kenworthy,Lauren Kenworthy,Lauren Kenworthy,Lauren Kenworthy,Lauren Kenworthy
Gang Chen,"Scientific and Statistical Computing Core, NIMH Intramural Research Program, National Institutes of",Gang Chen,Gang Chen,Gang Chen,Gang Chen,Gang Chen,Gang Chen
Carson C Chow,"Senior Investigator, LBM, NIDDK, NIH",Carson C Chow,Carson C Chow,Carson C Chow,Carson C Chow,Carson C Chow,Carson C Chow
Adrian W. Gilmore,"Laboratory of Brain and Cognition, NIMH",Adrian W. Gilmore,Adrian W. Gilmore,Adrian W. Gilmore,Adrian W. Gilmore,Adrian W. Gilmore,Adrian W. Gilmore
Peter A. Bandettini,"Chief, Section on Functional Imaging Methods, National Institute of Mental Health",Peter A. Bandettini,Peter A. Bandettini,Peter A. Bandettini,Peter A. Bandettini,Peter A. Bandettini,Peter A. Bandettini
David C. Plaut,"Professor of Psychology, Carnegie Mellon University",David C. Plaut,David C. Plaut,David C. Plaut,David C. Plaut,David C. Plaut,David C. Plaut
Eric M. Wassermann,NIH/NINDS,Eric M. Wassermann,Eric M. Wassermann,Eric M. Wassermann,Eric M. Wassermann,Eric M. Wassermann,Eric M. Wassermann
Cameron David Riddell,"Graduate Student, UC Davis",Cameron David Riddell,Cameron David Riddell,Cameron David Riddell,Cameron David Riddell,Cameron David Riddell,Cameron David Riddell
Harrison McAdams,University of Pennsylvania,Harrison McAdams,Harrison McAdams,Harrison McAdams,Harrison McAdams,Harrison McAdams,Harrison McAdams
Sunbin Song,"Human Cortical Physiology and Stroke Neurorehabilitation Section, NINDS, National Institutes of",Sunbin Song,Sunbin Song,Sunbin Song,Sunbin Song,Sunbin Song,Sunbin Song
Simon De Deyne,University of Melbourne,Simon De Deyne,Simon De Deyne,Simon De Deyne,Simon De Deyne,Simon De Deyne,Simon De Deyne
Andrew Hendrickson,Tilburg University,Andrew Hendrickson,Andrew Hendrickson,Andrew Hendrickson,Andrew Hendrickson,Andrew Hendrickson,Andrew Hendrickson
nick chater,"Professor of Behavioural Science, Warwick Business School",nick chater,nick chater,nick chater,nick chater,nick chater,nick chater
Keith Ransom,The University of Melbourne,Keith Ransom,Keith Ransom,Keith Ransom,Keith Ransom,Keith Ransom,Keith Ransom
gert storms,"psychologie, universiteit leuven",gert storms,gert storms,gert storms,gert storms,gert storms,gert storms
Alexander (Sasha) Pastukhov,Otto-Friedrich-Universität Bamberg,Alexander (Sasha) Pastukhov,Alexander (Sasha) Pastukhov,Alexander (Sasha) Pastukhov,Alexander (Sasha) Pastukhov,Alexander (Sasha) Pastukhov,Alexander (Sasha) Pastukhov
Maurizio Mattia,Istituto Superiore di Sanità - Rome (Italy),Maurizio Mattia,Maurizio Mattia,Maurizio Mattia,Maurizio Mattia,Maurizio Mattia,Maurizio Mattia
paolo del giudice,Italian Institute of Health,paolo del giudice,paolo del giudice,paolo del giudice,paolo del giudice,paolo del giudice,paolo del giudice
Linda Chang,"Professor and Vice Chair for Faculty Development, University of Maryland School of Medicine",Linda Chang,Linda Chang,Linda Chang,Linda Chang,Linda Chang,Linda Chang
thomas ernst,"Diagnistic Radiology and Nuclear Imaging, University of Maryland",thomas ernst,thomas ernst,thomas ernst,thomas ernst,thomas ernst,thomas ernst
Jack L. GALLANT,University of California at Berkeley,Jack L. GALLANT,Jack L. GALLANT,Jack L. GALLANT,Jack L. GALLANT,Jack L. GALLANT,Jack L. GALLANT
Dov Sagi,Weizmann Institute of Science,Dov Sagi,Dov Sagi,Dov Sagi,Dov Sagi,Dov Sagi,Dov Sagi
Randolph Blake+R. Randolph Blake,Northwestern University+Vanderbilt University+Baylor College of Medicine+University of Texas,Randolph Blake+R. Randolph Blake,Randolph Blake+R. Randolph Blake,Randolph Blake+R. Randolph Blake,Randolph Blake+R. Randolph Blake,Randolph Blake+R. Randolph Blake,Randolph Blake+R. Randolph Blake
Patrick Camilleri,"Research Associate Computer Science, University of Manchester",Patrick Camilleri,Patrick Camilleri,Patrick Camilleri,Patrick Camilleri,Patrick Camilleri,Patrick Camilleri
Ilona Kovacs,"professor of psychology, Péter Pázmány Catholic University",Ilona Kovacs,Ilona Kovacs,Ilona Kovacs,Ilona Kovacs,Ilona Kovacs,Ilona Kovacs
GUSTAVO DECO,University Pompeu Fabra - Center for Brain and Cognition - ICREA,GUSTAVO DECO,GUSTAVO DECO,GUSTAVO DECO,GUSTAVO DECO,GUSTAVO DECO,GUSTAVO DECO
Thomas Howard,University of Rochester,Thomas Howard,Thomas Howard,Thomas Howard,Thomas Howard,Thomas Howard,Thomas Howard
Felix Duvallet,Kodiak Robotics,Felix Duvallet,Felix Duvallet,Felix Duvallet,Felix Duvallet,Felix Duvallet,Felix Duvallet
Anthony Stentz,"Adjunct Professor, Robotics Institute, Carnegie Mellon University",Anthony Stentz,Anthony Stentz,Anthony Stentz,Anthony Stentz,Anthony Stentz,Anthony Stentz
Jean Oh,"Robotics Institute, Carnegie Mellon University",Jean Oh,Jean Oh,Jean Oh,Jean Oh,Jean Oh,Jean Oh
Emma Brunskill,"Associate Professor of Computer Science, Stanford University",Emma Brunskill,Emma Brunskill,Emma Brunskill,Emma Brunskill,Emma Brunskill,Emma Brunskill
Anjula De Silva,University of Moratuwa,Anjula De Silva,Anjula De Silva,Anjula De Silva,Anjula De Silva,Anjula De Silva,Anjula De Silva
Peshala Jayasekara,"Department of Electronic and Telecommunication Engineering, University of Moratuwa",Peshala Jayasekara,Peshala Jayasekara,Peshala Jayasekara,Peshala Jayasekara,Peshala Jayasekara,Peshala Jayasekara
Roshan L. Peiris,Assistant Professor at Rochester Institute of Technology,Roshan L. Peiris,Roshan L. Peiris,Roshan L. Peiris,Roshan L. Peiris,Roshan L. Peiris,Roshan L. Peiris
Rohan Munasinghe,"Professor, University of Moratuwa",Rohan Munasinghe,Rohan Munasinghe,Rohan Munasinghe,Rohan Munasinghe,Rohan Munasinghe,Rohan Munasinghe
Jun-geun Park,"PhD, Cambridge Mobile Telematics",Jun-geun Park,Jun-geun Park,Jun-geun Park,Jun-geun Park,Jun-geun Park,Jun-geun Park
Dieter Fox,University of Washington and NVIDIA,Dieter Fox,Dieter Fox,Dieter Fox,Dieter Fox,Dieter Fox,Dieter Fox
Joelle Pineau,"School of Computer Science, McGill University",Joelle Pineau,Joelle Pineau,Joelle Pineau,Joelle Pineau,Joelle Pineau,Joelle Pineau
Wolfram Burgard,"Professor of Computer Science, University of Freiburg",Wolfram Burgard,Wolfram Burgard,Wolfram Burgard,Wolfram Burgard,Wolfram Burgard,Wolfram Burgard
Frank Dellaert,"Professor, Georgia Tech",Frank Dellaert,Frank Dellaert,Frank Dellaert,Frank Dellaert,Frank Dellaert,Frank Dellaert
Gregory Dudek,"Professor of Computer Science, Center for Intelligent Machines, McGill University",Gregory Dudek,Gregory Dudek,Gregory Dudek,Gregory Dudek,Gregory Dudek,Gregory Dudek
Peter Henry,University of Washington,Peter Henry,Peter Henry,Peter Henry,Peter Henry,Peter Henry,Peter Henry
Michael Krainin,Google,Michael Krainin,Michael Krainin,Michael Krainin,Michael Krainin,Michael Krainin,Michael Krainin
Andrew McCallum,"Distinguished Professor of Computer Science, University of Massachusetts Amherst",Andrew McCallum,Andrew McCallum,Andrew McCallum,Andrew McCallum,Andrew McCallum,Andrew McCallum
John Leonard,"Professor of Mechanical and Ocean Engineering, MIT",John Leonard,John Leonard,John Leonard,John Leonard,John Leonard,John Leonard
Christian Plagemann,Google Research,Christian Plagemann,Christian Plagemann,Christian Plagemann,Christian Plagemann,Christian Plagemann,Christian Plagemann
Kristian Kersting,"Professor of AI & Machine Learning, TU Darmstadt, Co-Director of hessian.ai, Germany, CLAIRE & ELLIS",Kristian Kersting,Kristian Kersting,Kristian Kersting,Kristian Kersting,Kristian Kersting,Kristian Kersting
Cyrill Stachniss,"Professor for Photogrammetry & Robotics, University of Bonn",Cyrill Stachniss,Cyrill Stachniss,Cyrill Stachniss,Cyrill Stachniss,Cyrill Stachniss,Cyrill Stachniss
Petros Maragos,"Professor of Electrical and Computer Engineering, National Technical University of Athens",Petros Maragos,Petros Maragos,Petros Maragos,Petros Maragos,Petros Maragos,Petros Maragos
Alexandros Potamianos,National Technical University of Athens,Alexandros Potamianos,Alexandros Potamianos,Alexandros Potamianos,Alexandros Potamianos,Alexandros Potamianos,Alexandros Potamianos
Athanasia Zlatintsi,"PostDoctoral Resercher, National Technical University of Athens; Athena Research and Innovation",Athanasia Zlatintsi,Athanasia Zlatintsi,Athanasia Zlatintsi,Athanasia Zlatintsi,Athanasia Zlatintsi,Athanasia Zlatintsi
Konstantinos Rapantzikos,National Technical University of Athens,Konstantinos Rapantzikos,Konstantinos Rapantzikos,Konstantinos Rapantzikos,Konstantinos Rapantzikos,Konstantinos Rapantzikos,Konstantinos Rapantzikos
Yannis Avrithis,"Athena Research Center, Greece",Yannis Avrithis,Yannis Avrithis,Yannis Avrithis,Yannis Avrithis,Yannis Avrithis,Yannis Avrithis
Ioannis A. Kakadiaris,"Hugh Roy and Lillie Cranz Cullen Distinguished University Professor of Computer Science, Electrical",Ioannis A. Kakadiaris,Ioannis A. Kakadiaris,Ioannis A. Kakadiaris,Ioannis A. Kakadiaris,Ioannis A. Kakadiaris,Ioannis A. Kakadiaris
Stephen Voinea,MIT,Stephen Voinea,Stephen Voinea,Stephen Voinea,Stephen Voinea,Stephen Voinea,Stephen Voinea
Chiyuan Zhang,Google Brain,Chiyuan Zhang,Chiyuan Zhang,Chiyuan Zhang,Chiyuan Zhang,Chiyuan Zhang,Chiyuan Zhang
Iasonas Kokkinos,"Snap Inc.,  University College London",Iasonas Kokkinos,Iasonas Kokkinos,Iasonas Kokkinos,Iasonas Kokkinos,Iasonas Kokkinos,Iasonas Kokkinos
Georgios Skoumas,TileDB,Georgios Skoumas,Georgios Skoumas,Georgios Skoumas,Georgios Skoumas,Georgios Skoumas,Georgios Skoumas
Shishir Shah,"University of Houston, Department of Computer Science",Shishir Shah,Shishir Shah,Shishir Shah,Shishir Shah,Shishir Shah,Shishir Shah
Xi Zhao,"Professor, Xi'an Jiaotong University",Xi Zhao,Xi Zhao,Xi Zhao,Xi Zhao,Xi Zhao,Xi Zhao
Nikolaos Malandrakis,Amazon,Nikolaos Malandrakis,Nikolaos Malandrakis,Nikolaos Malandrakis,Nikolaos Malandrakis,Nikolaos Malandrakis,Nikolaos Malandrakis
Theoharis Theoharis,NTNU | NKUA (part-time),Theoharis Theoharis,Theoharis Theoharis,Theoharis Theoharis,Theoharis Theoharis,Theoharis Theoharis,Theoharis Theoharis
George Toderici,"Google, Inc.",George Toderici,George Toderici,George Toderici,George Toderici,George Toderici,George Toderici
Xavier Boix,MIT,Xavier Boix,Xavier Boix,Xavier Boix,Xavier Boix,Xavier Boix,Xavier Boix
Petros Koutras,PhD Student National Tecnical University of Athens,Petros Koutras,Petros Koutras,Petros Koutras,Petros Koutras,Petros Koutras,Petros Koutras
Katerina Pastra,ATHENA Research Center,Katerina Pastra,Katerina Pastra,Katerina Pastra,Katerina Pastra,Katerina Pastra,Katerina Pastra
Simon Warby,University of Montreal,Simon Warby,Simon Warby,Simon Warby,Simon Warby,Simon Warby,Simon Warby
Paul Peppard,"Professor of Population Health Sciences, University of Wisconsin-Madison",Paul Peppard,Paul Peppard,Paul Peppard,Paul Peppard,Paul Peppard,Paul Peppard
Poul Jennum,Professor in clinical neurophysiology at University of Copenhagen,Poul Jennum,Poul Jennum,Poul Jennum,Poul Jennum,Poul Jennum,Poul Jennum
Sabrina Wendt Aanæs (Lyngbye Wendt),"Netcompany (previous application scientist at Zealand Pharma A/S, PhD student at DTU Compute)",Sabrina Wendt Aanæs (Lyngbye Wendt),Sabrina Wendt Aanæs (Lyngbye Wendt),Sabrina Wendt Aanæs (Lyngbye Wendt),Sabrina Wendt Aanæs (Lyngbye Wendt),Sabrina Wendt Aanæs (Lyngbye Wendt),Sabrina Wendt Aanæs (Lyngbye Wendt)
Ryan Gomes,"Google, Inc",Ryan Gomes,Ryan Gomes,Ryan Gomes,Ryan Gomes,Ryan Gomes,Ryan Gomes
Andreas Krause,"Professor of Computer Science, ETH Zurich",Andreas Krause,Andreas Krause,Andreas Krause,Andreas Krause,Andreas Krause,Andreas Krause
Ila Fiete,"Professor of Brain and Cognitive Sciences, MIT",Ila Fiete,Ila Fiete,Ila Fiete,Ila Fiete,Ila Fiete,Ila Fiete
Kim Christensen,Imperial College London,Kim Christensen,Kim Christensen,Kim Christensen,Kim Christensen,Kim Christensen,Kim Christensen
PABLO TAMAYO,"Professor, University of California San Diego",PABLO TAMAYO,PABLO TAMAYO,PABLO TAMAYO,PABLO TAMAYO,PABLO TAMAYO,PABLO TAMAYO
Vamsi Mootha,"Massachusetts General Hospital, Harvard Medical School, HHMI",Vamsi Mootha,Vamsi Mootha,Vamsi Mootha,Vamsi Mootha,Vamsi Mootha,Vamsi Mootha
Amanda Paulovich,Fred Hutchinson Cancer Research Center,Amanda Paulovich,Amanda Paulovich,Amanda Paulovich,Amanda Paulovich,Amanda Paulovich,Amanda Paulovich
vapnik,"Professor of Columbia, Fellow of NEC Labs America, ",vapnik,vapnik,vapnik,vapnik,vapnik,vapnik
Nicola Ancona,"Researcher, Institute of Intelligent Systems for Automation, National Research Council",Nicola Ancona,Nicola Ancona,Nicola Ancona,Nicola Ancona,Nicola Ancona,Nicola Ancona
G Stolovitzky,"Chief Science Officer, Sema4",G Stolovitzky,G Stolovitzky,G Stolovitzky,G Stolovitzky,G Stolovitzky,G Stolovitzky
"Wu, Qiang",Middle Tennessee State University,"Wu, Qiang","Wu, Qiang","Wu, Qiang","Wu, Qiang","Wu, Qiang","Wu, Qiang"
Olivier Chapelle,Google,Olivier Chapelle,Olivier Chapelle,Olivier Chapelle,Olivier Chapelle,Olivier Chapelle,Olivier Chapelle
John Harer,"Professor of Mathematics, Duke University",John Harer,John Harer,John Harer,John Harer,John Harer,John Harer
Terrence Furey,"Professor, Genetics and Biology, UNC-Chapel Hill",Terrence Furey,Terrence Furey,Terrence Furey,Terrence Furey,Terrence Furey,Terrence Furey
Olivier Bousquet,Google,Olivier Bousquet,Olivier Bousquet,Olivier Bousquet,Olivier Bousquet,Olivier Bousquet,Olivier Bousquet
Christine Ladd-Acosta,Associate Professor,Christine Ladd-Acosta,Christine Ladd-Acosta,Christine Ladd-Acosta,Christine Ladd-Acosta,Christine Ladd-Acosta,Christine Ladd-Acosta
Tom Curran,Children's Mercy Kansas City,Tom Curran,Tom Curran,Tom Curran,Tom Curran,Tom Curran,Tom Curran
Massimo Loda,"Professor of Pathology, Harvard Medical School",Massimo Loda,Massimo Loda,Massimo Loda,Massimo Loda,Massimo Loda,Massimo Loda
Roberto Prevete,"Assistant Professor of Computer Science, University of Naples Federico II",Roberto Prevete,Roberto Prevete,Roberto Prevete,Roberto Prevete,Roberto Prevete,Roberto Prevete
Gianfranco Gargano,"Professo di Matematica e Fisica, “Gandhi” - Merano",Gianfranco Gargano,Gianfranco Gargano,Gianfranco Gargano,Gianfranco Gargano,Gianfranco Gargano,Gianfranco Gargano
Gianluca Gemme,"Director of Research, Istituto Nazionale di Fisica Nucleare, Italy",Gianluca Gemme,Gianluca Gemme,Gianluca Gemme,Gianluca Gemme,Gianluca Gemme,Gianluca Gemme
maria evelina fantacci,"Associate Professor, University of Pisa",maria evelina fantacci,maria evelina fantacci,maria evelina fantacci,maria evelina fantacci,maria evelina fantacci,maria evelina fantacci
GIORGIO DE NUNZIO,"Researcher in Applied Physics, University of Salento (Lecce - Italy)",GIORGIO DE NUNZIO,GIORGIO DE NUNZIO,GIORGIO DE NUNZIO,GIORGIO DE NUNZIO,GIORGIO DE NUNZIO,GIORGIO DE NUNZIO
Pavan Kumar Mallapragada,"MSU, MIT",Pavan Kumar Mallapragada,Pavan Kumar Mallapragada,Pavan Kumar Mallapragada,Pavan Kumar Mallapragada,Pavan Kumar Mallapragada,Pavan Kumar Mallapragada
Francesco Isgrò,"Associate Professor, Università degli Studi di Napoli Federico II",Francesco Isgrò,Francesco Isgrò,Francesco Isgrò,Francesco Isgrò,Francesco Isgrò,Francesco Isgrò
roberto bellotti,"Università degli Studi di Bari ""aldo Moro"" - Italy",roberto bellotti,roberto bellotti,roberto bellotti,roberto bellotti,roberto bellotti,roberto bellotti
Piergiorgio Cerello,INFN,Piergiorgio Cerello,Piergiorgio Cerello,Piergiorgio Cerello,Piergiorgio Cerello,Piergiorgio Cerello,Piergiorgio Cerello
Guglielmo Tamburrini,"Philosophy of Science and Technology Professor, Universita' di Napoli Federico II",Guglielmo Tamburrini,Guglielmo Tamburrini,Guglielmo Tamburrini,Guglielmo Tamburrini,Guglielmo Tamburrini,Guglielmo Tamburrini
Başar Bilgiç,"Istanbul University Istanbul Faculty of Medicine, Department of Neurology, Behavioral Neurology and",Başar Bilgiç,Başar Bilgiç,Başar Bilgiç,Başar Bilgiç,Başar Bilgiç,Başar Bilgiç
Ali Bayram,Istanbul University,Ali Bayram,Ali Bayram,Ali Bayram,Ali Bayram,Ali Bayram,Ali Bayram
Gökben Hızlı Sayar,"Üsküdar University, Faculty of Humanities and Social Sciences, Department of Psychology",Gökben Hızlı Sayar,Gökben Hızlı Sayar,Gökben Hızlı Sayar,Gökben Hızlı Sayar,Gökben Hızlı Sayar,Gökben Hızlı Sayar
Jedediah M. Singer,"Principal Research Scientist, Two Six Technologies",Jedediah M. Singer,Jedediah M. Singer,Jedediah M. Singer,Jedediah M. Singer,Jedediah M. Singer,Jedediah M. Singer
Boris Katz,"MIT CSAIL, CBMM",Boris Katz,Boris Katz,Boris Katz,Boris Katz,Boris Katz,Boris Katz
Raphael Tang,University of Waterloo,Raphael Tang,Raphael Tang,Raphael Tang,Raphael Tang,Raphael Tang,Raphael Tang
Rodrigo Nogueira,"University of Waterloo, UNICAMP",Rodrigo Nogueira,Rodrigo Nogueira,Rodrigo Nogueira,Rodrigo Nogueira,Rodrigo Nogueira,Rodrigo Nogueira
Dina Demner-Fushman,National Library of Medicine,Dina Demner-Fushman,Dina Demner-Fushman,Dina Demner-Fushman,Dina Demner-Fushman,Dina Demner-Fushman,Dina Demner-Fushman
Luchen Tan,University of Waterloo,Luchen Tan,Luchen Tan,Luchen Tan,Luchen Tan,Luchen Tan,Luchen Tan
Jinfeng Rao,"TLM, Google AI",Jinfeng Rao,Jinfeng Rao,Jinfeng Rao,Jinfeng Rao,Jinfeng Rao,Jinfeng Rao
Wei Yang,Wish,Wei Yang,Wei Yang,Wei Yang,Wei Yang,Wei Yang,Wei Yang
Peng Shi,University of Waterloo,Peng Shi,Peng Shi,Peng Shi,Peng Shi,Peng Shi,Peng Shi
Hua He,University of Maryland College Park,Hua He,Hua He,Hua He,Hua He,Hua He,Hua He
Ferhan Ture,NLP Research @ Comcast Applied AI Reserch,Ferhan Ture,Ferhan Ture,Ferhan Ture,Ferhan Ture,Ferhan Ture,Ferhan Ture
Bonnie Dorr,"University of Florida, IHMC, UMD",Bonnie Dorr,Bonnie Dorr,Bonnie Dorr,Bonnie Dorr,Bonnie Dorr,Bonnie Dorr
Peilin Yang,University of Delaware,Peilin Yang,Peilin Yang,Peilin Yang,Peilin Yang,Peilin Yang,Peilin Yang
Donald Metzler,Google,Donald Metzler,Donald Metzler,Donald Metzler,Donald Metzler,Donald Metzler,Donald Metzler
Ian Milligan,"Department of History, University of Waterloo",Ian Milligan,Ian Milligan,Ian Milligan,Ian Milligan,Ian Milligan,Ian Milligan
Arjen P. de Vries,Radboud Universiteit,Arjen P. de Vries,Arjen P. de Vries,Arjen P. de Vries,Arjen P. de Vries,Arjen P. de Vries,Arjen P. de Vries
Tamer Elsayed,"Associate Professor, Qatar University",Tamer Elsayed,Tamer Elsayed,Tamer Elsayed,Tamer Elsayed,Tamer Elsayed,Tamer Elsayed
Matt Crane,Facebook,Matt Crane,Matt Crane,Matt Crane,Matt Crane,Matt Crane,Matt Crane
Nick Ruest,York University,Nick Ruest,Nick Ruest,Nick Ruest,Nick Ruest,Nick Ruest,Nick Ruest
Douglas W. Oard,University of Maryland,Douglas W. Oard,Douglas W. Oard,Douglas W. Oard,Douglas W. Oard,Douglas W. Oard,Douglas W. Oard
Haotian Zhang,Wish,Haotian Zhang,Haotian Zhang,Haotian Zhang,Haotian Zhang,Haotian Zhang,Haotian Zhang
Andrej Karpathy,"Computer Science PhD student, Stanford University",Andrej Karpathy,Andrej Karpathy,Andrej Karpathy,Andrej Karpathy,Andrej Karpathy,Andrej Karpathy
Yaniv Taigman,Facebook AI Research,Yaniv Taigman,Yaniv Taigman,Yaniv Taigman,Yaniv Taigman,Yaniv Taigman,Yaniv Taigman
Amnon Shashua,"Professor of Computer Science, the Hebrew University of Jerusalem",Amnon Shashua,Amnon Shashua,Amnon Shashua,Amnon Shashua,Amnon Shashua,Amnon Shashua
Adam Polyak,Facebook AI Research,Adam Polyak,Adam Polyak,Adam Polyak,Adam Polyak,Adam Polyak,Adam Polyak
Daniel Cohen-Or,"Professor of Computer Science, Tel Aviv University",Daniel Cohen-Or,Daniel Cohen-Or,Daniel Cohen-Or,Daniel Cohen-Or,Daniel Cohen-Or,Daniel Cohen-Or
Sagie Benaim,"Postdoc, University of Copenhagen",Sagie Benaim,Sagie Benaim,Sagie Benaim,Sagie Benaim,Sagie Benaim,Sagie Benaim
Eliya Nachmani,Tel-Aviv University & Facebook AI Research (FAIR),Eliya Nachmani,Eliya Nachmani,Eliya Nachmani,Eliya Nachmani,Eliya Nachmani,Eliya Nachmani
Ming Yang,Facebook AI Research - NEC Laboratories America,Ming Yang,Ming Yang,Ming Yang,Ming Yang,Ming Yang,Ming Yang
Marc'Aurelio Ranzato,DeepMind,Marc'Aurelio Ranzato,Marc'Aurelio Ranzato,Marc'Aurelio Ranzato,Marc'Aurelio Ranzato,Marc'Aurelio Ranzato,Marc'Aurelio Ranzato
itzik malkiel,Unknown affiliation,itzik malkiel,itzik malkiel,itzik malkiel,itzik malkiel,itzik malkiel,itzik malkiel
Tomer Galanti,Postdoctoral Associate,Tomer Galanti,Tomer Galanti,Tomer Galanti,Tomer Galanti,Tomer Galanti,Tomer Galanti
Benjamin Klein,Tel Aviv University,Benjamin Klein,Benjamin Klein,Benjamin Klein,Benjamin Klein,Benjamin Klein,Benjamin Klein
Michael Mrejen,Senior Research Scientist- Tel Aviv University,Michael Mrejen,Michael Mrejen,Michael Mrejen,Michael Mrejen,Michael Mrejen,Michael Mrejen
Haim Suchowski,"Senior Lecturer (Assistant Professor), School of Physics, Tel Aviv University",Haim Suchowski,Haim Suchowski,Haim Suchowski,Haim Suchowski,Haim Suchowski,Haim Suchowski
Yaniv Bar,"MSc in Computer Science, Tel-Aviv University",Yaniv Bar,Yaniv Bar,Yaniv Bar,Yaniv Bar,Yaniv Bar,Yaniv Bar
Noga Levy,Unknown affiliation,Noga Levy,Noga Levy,Noga Levy,Noga Levy,Noga Levy,Noga Levy
Shir Gur,Tel-Aviv University,Shir Gur,Shir Gur,Shir Gur,Shir Gur,Shir Gur,Shir Gur
Tim K. Marks,"Principal Research Scientist, Mitsubishi Electric Research Labs (MERL)",Tim K. Marks,Tim K. Marks,Tim K. Marks,Tim K. Marks,Tim K. Marks,Tim K. Marks
James M. Rehg,"Professor of Computer Science, Georgia Institute of Technology",James M. Rehg,James M. Rehg,James M. Rehg,James M. Rehg,James M. Rehg,James M. Rehg
Daniel Nikovski,"Group Manager, Mitsubishi Electric Research Labs",Daniel Nikovski,Daniel Nikovski,Daniel Nikovski,Daniel Nikovski,Daniel Nikovski,Daniel Nikovski
Oncel Tuzel,Apple,Oncel Tuzel,Oncel Tuzel,Oncel Tuzel,Oncel Tuzel,Oncel Tuzel,Oncel Tuzel
Guodong Guo,"Professor of Computer Science and Electrical Engineering, West Virginia University",Guodong Guo,Guodong Guo,Guodong Guo,Guodong Guo,Guodong Guo,Guodong Guo
